Symbol,Timeframe,Trades,WinRate,NetReturn,FinalBalance
BTC/USDT,5m,8,50.0%,4801.55,5801.55
BTC/USDT,15m,22,22.7%,-3857.29,-2857.29
BTC/USDT,1h,26,57.7%,15657.22,16657.22
BTC/USDT,4h,48,35.4%,2472.80,3472.80
BTC/USDT,1d,32,56.2%,34012.12,35012.12
ETH/USDT,5m,9,33.3%,72.39,1072.39
ETH/USDT,15m,31,29.0%,-136.31,863.69
ETH/USDT,1h,41,58.5%,1293.12,2293.12
ETH/USDT,4h,68,48.5%,1070.95,2070.95
ETH/USDT,1d,75,58.7%,2633.94,3633.94
BNB/USDT,5m,8,62.5%,37.03,1037.03
BNB/USDT,15m,34,35.3%,31.82,1031.82
BNB/USDT,1h,18,72.2%,206.09,1206.09
BNB/USDT,4h,40,45.0%,167.99,1167.99
BNB/USDT,1d,59,52.5%,168.49,1168.49
SOL/USDT,5m,11,45.5%,13.18,1013.18
SOL/USDT,15m,50,28.0%,-13.06,986.94
SOL/USDT,1h,42,59.5%,73.90,1073.90
SOL/USDT,4h,50,20.0%,-45.46,954.54
SOL/USDT,1d,94,58.5%,145.50,1145.50
